from,to,year,award,weight,category,project,sex,ethnicity,year of birth
Guy Pearce,Oscar,2025,Oscar,1,acting,The Brutalist,male,White,1967
Jeremy Strong,Oscar,2025,Oscar,1,acting,The Apprentice,male,White,1978
Cillian Murphy,Oscar,2024,Oscar,2,acting,Oppenheimer,male,White,1976
Bradley Cooper,Oscar,2024,Oscar,1,acting,Maestro,male,White,1975
Colman Domingo,Oscar,2024,Oscar,1,acting,Rustin,male,Black,1969
Paul Giamatti,Oscar,2024,Oscar,1,acting,The Holdovers,male,White,1967
Jeffrey Wright,Oscar,2024,Oscar,1,acting,American Fiction,male,Black,1965
Robert Downey Jr.,Oscar,2024,Oscar,2,acting,Oppenheimer,male,White,1965
Sterling K. Brown,Oscar,2024,Oscar,1,acting,American Fiction,male,Black,1976
Robert De Niro,Oscar,2024,Oscar,1,acting,Killers of the Flower Moon,male,White,1943
Ryan Gosling,Oscar,2024,Oscar,1,acting,Barbie,male,White,1980
Mark Ruffalo,Oscar,2024,Oscar,1,acting,Poor Things,male,White,1967
Brendan Fraser,Oscar,2023,Oscar,2,acting,The Whale,male,White,1968
Austin Butler,Oscar,2023,Oscar,1,acting,Elvis,male,White,1991
Colin Farrell,Oscar,2023,Oscar,1,acting,The Banshees of Inisherin,male,White,1976
Paul Mescal,Oscar,2023,Oscar,1,acting,Aftersun,male,White,1996
Bill Nighy,Oscar,2023,Oscar,1,acting,Living,male,White,1949
Ke Huy Quan,Oscar,2023,Oscar,2,acting,Everything Everywhere All at Once,male,Asian,1971
Brendan Gleeson,Oscar,2023,Oscar,1,acting,The Banshees of Inisherin,male,White,1955
Brian Tyree Henry,Oscar,2023,Oscar,1,acting,Causeway,male,Black,1982
Judd Hirsch,Oscar,2023,Oscar,1,acting,The Fabelmans,male,White,1935
Barry Keoghan,Oscar,2023,Oscar,1,acting,The Banshees of Inisherin,male,White,1992
Will Smith,Oscar,2022,Oscar,2,acting,King Richard,male,Black,1968
Javier Bardem,Oscar,2022,Oscar,1,acting,Being the Ricardos,male,White,1969
Benedict Cumberbatch,Oscar,2022,Oscar,1,acting,The Power of the Dog,male,White,1976
Andrew Garfield,Oscar,2022,Oscar,1,acting,"tick, tick...BOOM!",male,White,1983
Denzel Washington,Oscar,2022,Oscar,2,acting,The Tragedy of Macbeth,male,Black,1954
Troy Kotsur,Oscar,2022,Oscar,1,acting,CODA,male,White,1968
Ciarán Hinds,Oscar,2022,Oscar,1,acting,Belfast,male,White,1953
Jesse Plemons,Oscar,2022,Oscar,1,acting,The Power of the Dog,male,White,1988
J.K. Simmons,Oscar,2022,Oscar,1,acting,Being the Ricardos,male,White,1955
Kodi Smit-McPhee,Oscar,2022,Oscar,1,acting,The Power of the Dog,male,White,1996
Adrien Brody,Golden Globe,2025,Golden Globe,2,acting,The Brutalist,male,White,1973
Timothée Chalamet,Golden Globe,2025,Golden Globe,1,acting,A Complete Unknown,male,White,1995
Daniel Craig,Golden Globe,2025,Golden Globe,1,acting,Queer,male,White,1968
Colman Domingo,Golden Globe,2025,Golden Globe,1,acting,Sing Sing,male,Black,1969
Ralph Fiennes,Golden Globe,2025,Golden Globe,1,acting,Conclave,male,White,1962
Sebastian Stan,Golden Globe,2025,Golden Globe,1,acting,The Apprentice,male,White,1982
Gabriel LaBelle,Golden Globe,2025,Golden Globe,1,acting,Saturday Night,male,White,2002
Glen Powell,Golden Globe,2025,Golden Globe,1,acting,Hit Man,male,White,1988
Hugh Grant,Golden Globe,2025,Golden Globe,1,acting,Heretic,male,White,1960
Jesse Eisenberg,Golden Globe,2025,Golden Globe,1,acting,A Real Pain,male,White,1983
Jesse Plemons,Golden Globe,2025,Golden Globe,1,acting,Kinds of Kindness,male,White,1988
Sebastian Stan,Golden Globe,2025,Golden Globe,2,acting,A Different Man,male,White,1982
Denzel Washington,Golden Globe,2025,Golden Globe,1,acting,Gladiator II,male,Black,1954
Edward Norton,Golden Globe,2025,Golden Globe,1,acting,A Complete Unknown,male,White,1969
Guy Pearce,Golden Globe,2025,Golden Globe,1,acting,The Brutalist,male,White,1967
Jeremy Strong,Golden Globe,2025,Golden Globe,1,acting,The Apprentice,male,White,1978
Kieran Culkin,Golden Globe,2025,Golden Globe,2,acting,A Real Pain,male,White,1982
Yura Borisov,Golden Globe,2025,Golden Globe,1,acting,Anora,male,White,1992
Billy Bob Thornton,Golden Globe,2025,Golden Globe,1,acting,Landman,male,White,1955
Donald Glover,Golden Globe,2025,Golden Globe,1,acting,Mr. & Mrs. Smith,male,Black,1983
Eddie Redmayne,Golden Globe,2025,Golden Globe,1,acting,The Day of the Jackal,male,White,1982
Gary Oldman,Golden Globe,2025,Golden Globe,1,acting,Slow Horses,male,White,1958
Hiroyuki Sanada,Golden Globe,2025,Golden Globe,2,acting,Shogun,male,Asian,1960
Jake Gyllenhaal,Golden Globe,2025,Golden Globe,1,acting,Presumed Innocent,male,White,1980
Adam Brody,Golden Globe,2025,Golden Globe,1,acting,Nobody Wants This,male,White,1979
Jason Segel,Golden Globe,2025,Golden Globe,1,acting,Shrinking,male,White,1980
Jeremy Allen White,Golden Globe,2025,Golden Globe,2,acting,The Bear,male,White,1991
Martin Short,Golden Globe,2025,Golden Globe,1,acting,Only Murders in the Building,male,White,1950
Steve Martin,Golden Globe,2025,Golden Globe,1,acting,Only Murders in the Building,male,White,1945
Ted Danson,Golden Globe,2025,Golden Globe,1,acting,A Man on the Inside,male,White,1947
Andrew Scott,Golden Globe,2025,Golden Globe,1,acting,Ripley,male,White,1976
Colin Farrell,Golden Globe,2025,Golden Globe,2,acting,The Penguin,male,White,1976
Cooper Koch,Golden Globe,2025,Golden Globe,1,acting,Monsters: The Lyle and Erik Menendez Story,male,White,1996
Ewan McGregor,Golden Globe,2025,Golden Globe,1,acting,A Gentleman in Moscow,male,White,1971
Kevin Kline,Golden Globe,2025,Golden Globe,1,acting,Disclaimer,male,White,1947
Richard Gadd,Golden Globe,2025,Golden Globe,1,acting,Baby Reindeer,male,White,1989
Diego Luna,Golden Globe,2025,Golden Globe,1,acting,La Máquina,male,Latin,1979
Ebon Moss–Bachrach,Golden Globe,2025,Golden Globe,1,acting,The Bear,male,White,1977
Harrison Ford,Golden Globe,2025,Golden Globe,1,acting,Shrinking,male,White,1942
Jack Lowden,Golden Globe,2025,Golden Globe,1,acting,Slow Horses,male,White,1990
Javier Bardem,Golden Globe,2025,Golden Globe,1,acting,Monsters: The Lyle and Erik Menendez Story,male,Latin,1969
Tadanobu Asano,Golden Globe,2025,Golden Globe,2,acting,Shogun,male,Asian,1973
Andrew Scott,Golden Globe,2024,Golden Globe,1,acting,All of Us Strangers,male,White,1976
Barry Keoghan,Golden Globe,2024,Golden Globe,1,acting,Saltburn,male,White,1992
Bradley Cooper,Golden Globe,2024,Golden Globe,1,acting,Maestro,male,White,1975
Cillian Murphy,Golden Globe,2024,Golden Globe,2,acting,Oppenheimer,male,White,1976
Colman Domingo,Golden Globe,2024,Golden Globe,1,acting,Rustin,male,Mixed,1969
Leonardo DiCaprio,Golden Globe,2024,Golden Globe,1,acting,Killers of the Flower Moon,male,White,1974
Jeffrey Wright,Golden Globe,2024,Golden Globe,1,acting,American Fiction,male,Black,1965
